text,sentiment,source,theme
"fixed hours.
both parttime and fulltime available should pay more for overtime.",negative,Glassdoor,Scheduling Issues
They provide a healthy salary. Every six months a salary hike and good benefits. They ask for difficult targets. There are some internal politics that still exist.,positive,Glassdoor,General Experience
"Good schedule , good pay Heavy work load, long shifts",negative,Glassdoor,Burnout
"good management, best work culture, nice colleagues shift patterns, break timings, team leads",positive,Glassdoor,Scheduling Issues
"Was a job that paid the bills. 
Makes you really appreciate working somewhere else Only cared about increasing productivity and not at all about the people. Whoever coined them as equality opportunity employees needs to look up the definition. 
Save your physical and mental well being an look for employment elsewhere.",positive,Glassdoor,General Experience
"If you want to have a smooth start at work, I think it's a good idea Internal promotion is a bit difficult and may take a long time.",negative,Glassdoor,General Experience
Horario flexible y muchos pluses en fin de semana El metro tarda mucho en llegar al prat,positive,Glassdoor,Scheduling Issues
"Job is not hard, the people were friendly and helpful. 12 hour work days during busy times",positive,Glassdoor,General Experience
"Fast paced, challenging and great learning opportunities; great overall benefits from day 1 Hectic hours, little flexibility, pay structure, call out culture leads to internal fights to show who is better",positive,Glassdoor,Scheduling Issues
Very simple and not complicated High expectations and comes with some petty drama,negative,Glassdoor,General Experience
"Gute Leitungen.
Gute Mitarbeitern
Gute Arbeit Es gibt keine Kontras für der Arbeit",neutral,Glassdoor,General Experience
Develops a strong work ethic for employees No consideration of human feeling within the workplace,positive,Glassdoor,General Experience
"I made a mistake leaving, never should have. Hard job to do, but well worth it. Can't get rehired. They aren't hiring now, or for the last while",positive,Glassdoor,General Experience
"The pay is not bad, and you are paid weekly. They work you like a dog, regardless of age or ability. Their retention rate is ridiculous, and their managers always quit or are moved around.",negative,Glassdoor,General Experience
"Can work with friends and can sometimes take your time. The job comes with sOME benefits A lot of work on the body. Depending where you’re placed, you’re doing the same thing for 10+ hours straight . lifting heavy heavy boxes.",positive,Glassdoor,Burnout
"Make own hours
Good pay
Free food sometimes Receptive 
Brain mush
Boring
Physically and mentally draining",positive,Glassdoor,Burnout
Benefit and vacation and TPO Big loads hard hours long,positive,Glassdoor,Scheduling Issues
"Ok money, good supervisors, swag bucks Heavy lifting/ safety is a concern but don't expect them to care or pay you for your injuries",positive,Glassdoor,Burnout
"Competitive pay and benefits (healthcare, 401k, stock options).
Opportunities for career advancement and skill development.
Fast-paced, engaging work environment.
Supportive team culture with approachable management.
Job stability with a global company. Physically demanding, especially during peak seasons.
Long shifts with limited break times.
Fluctuating workload, sometimes stressful.
Noisy warehouse environment.",neutral,Glassdoor,Burnout
The pay was good that’s pretty much it It’s a lot of drama and it’s all about who you know to do what you wanna do there. Even if you get a different roll you still will be paid the same.,positive,Glassdoor,General Experience
"The job is repetitive, relatively easy to learn. HR is onsite and helpful. The job is physically demanding, but once you get used to it it isn't so bad. Work ethic varies greatly, and hard work is not appreciated besides compliments from managers.",positive,Glassdoor,Training Gaps
"decent pay for the type of work
great benefits (insurance, 401k, company stock and education/Career Choice)
generous time-off policy
plenty of people to get to know if you are a people person very physically demanding
keeping your job depends on your rate -- your rate can depend on your waterspider who may not care that you do not have enough work/""good"" work to make rate and stay out of the bottom 5%",positive,Glassdoor,Training Gaps
It pays the bills I guess. The flex up / flex down thing here can be really annoying.,negative,Glassdoor,Scheduling Issues
Work on your own terms Heavy items when slow season,neutral,Glassdoor,Burnout
Very good and nice culture need to improve the salary range,positive,Glassdoor,General Experience
The benefits starts on day1 The standing for a long period of times and short lunches,positive,Glassdoor,Burnout
"The pay was good, and the time off accumulating every shift was nice They really didn’t care about their workers when I worked there. 
Bathroom breaks were like they were not acceptable",positive,Glassdoor,Scheduling Issues
"Simple to do, 4 day work week 10 hour shifts and have to deal with heat and rain,",neutral,Glassdoor,Burnout
Decent pay here at this job nothing too crazy As a part time you only get 15 mins break,positive,Glassdoor,Scheduling Issues
You will gain alot of knowledge Be ready to stand for the whole shift,positive,Glassdoor,Scheduling Issues
"Mutiple time off options. Above average health insurance options. Small department, not a lot of room to move up without moving.",neutral,Glassdoor,Scheduling Issues
"lots of overtime. Worked 60hours/week The cons are the same as the pros, but this website doesn't allow me to copy the same response.",positive,Glassdoor,Scheduling Issues
"Freedom
Opportunities
Career choice
Decent Pay Physically tiring
Poor Training
Not enough benefits",positive,Glassdoor,Training Gaps
"Good managers, a lot of overtime available Cold warehouse. Lonely isolating job",negative,Glassdoor,Scheduling Issues
Good pay rate for Associates Lot of internal politics in the Amazon warehouses,negative,Glassdoor,General Experience
Good place to start a warehouse job. Temperature is a little chilly.,neutral,Glassdoor,General Experience
"PTO, same work every night. Lots of turn over. Monotonous",neutral,Glassdoor,Scheduling Issues
They have really good benefits Some jobs can get overwhelming,positive,Glassdoor,General Experience
"Easy, not much weight to handle long shifts, stationed in one place",positive,Glassdoor,Burnout
"Good money better than average job Favouritism, no appreciation, more work you do more you’ll get, less work you do less they will give",positive,Glassdoor,General Experience
Fast Advancements and great benefits Very high turnover and not much accountability. Very long hours during holiday season.,positive,Glassdoor,Scheduling Issues
Simple work is required of you. Their rate per hour is slightly unreasonable due to the fact if the items are heavy in total it’s harder to walk around while pushing the heavy cart.,neutral,Glassdoor,Burnout
"Great benefits, very flexible, lots of different positions to try out incase you don’t like your main role. Free holiday meals once a year. Come and leave work whenever you want using your unpaid time or pto. They lay for school and offer career programs although the tests to get into them are very difficult Forced mandatory extra time. (My MET was 5 days of 11 1/2 hours and my regular shift is 3 days of 12 hours) you will get forced to cross trained and you will get labor shares to different departments wether you like that position or not. They have a very high expectations for making “rates” in your position. Managers and anyone in lead positions will micromanage and breathe down your neck. You are always getting watched and judged and everyone will shut down any minimal concern you have because nobody cares. They just care about saving their own behind. If you get hurt, well you better pray that you don’t because their AmCare will send you to their own doctor and they will lie and say you weren’t hurt at all so that they don’t have to pay for your injury or have you sue them. Some departments are very strict and WILL find reasons to write you up. You have to use some of your break time to get back to your station and sign in and scan something by the end of your break or you will get in trouble. You will use some of your break time just walking to the break area because it is SO far and so are the restrooms and don’t forget you need to use your break time to come back from break on time or you’ll get in trouble",neutral,Glassdoor,Scheduling Issues
A lot of hard work Only care about the numbers,positive,Glassdoor,General Experience
"It has good base pay, health benefits, and paid vacation. Work is heavy sometimes and need physical strength.",positive,Glassdoor,Burnout
"Employment stability 
Competitive pay
Benefits 
Diverse workforce Physical demands 
Management challenges 
Monotonous tasks
High turnover rates
Fast spaced environment",positive,Glassdoor,General Experience
Paid by the hour and if u stay long enough u get better pay well at least 1$ up From what I've heard they treat ya like a number or a robot,positive,Glassdoor,General Experience
"Great benefits, great people to work with. The work is very physically demanding",positive,Glassdoor,Burnout
Good pay from the company and lovely colleagues Too much heat and a lot of noise,positive,Glassdoor,General Experience
good pay and nice shift hours politics and partiality play a major role,positive,Glassdoor,Scheduling Issues
Flexible working schedules and good pay Extremely physical. Employees treated as machine sometimes.,positive,Glassdoor,Scheduling Issues
"Good benefits.
Valuable working experience.
Opportunities to learn and grow. Poor management support.
Lack of understanding during personal hardships.
Unfair treatment when injured on the job.
High-pressure environment with unrealistic expectations at times.",neutral,Glassdoor,Training Gaps
"Good benefits, learned new skills, upper management was helpful, leadership helped get promoted to corporate Favoritism, Peak OT was ""insane"" and mandatory",positive,Glassdoor,Training Gaps
"Discounts online amazon shopping, PTO, 4 day work week, overtime available Lots of micro management, lots of standing up and walking throughout shift",neutral,Glassdoor,Scheduling Issues
"Massive Canteen, Prayer room for muslims, bus for amazon staff, two breaks each 30 mins and good income Repetitive Work, Long Hours especially during Peak Season, Universal Stations",negative,Glassdoor,Scheduling Issues
"Good pay, friendly team and supportive each department Political enviornment, not good for long term",positive,Glassdoor,General Experience
"Good pay, simple tasks, two breaks, friendly coworkers High productivity targets, stressful during peak season",neutral,Glassdoor,Scheduling Issues
"Easy to get hired, flexible schedule, reliable income Standing 10+ hours, sore muscles, boring repetition",neutral,Glassdoor,Scheduling Issues
"Fast-paced environment, overtime available, helpful team leads Monotonous duties, strict rate tracking",positive,Glassdoor,Scheduling Issues
"Benefits start early, clean facility, organized workflow Mandatory extra time, poor work-life balance",positive,Glassdoor,Scheduling Issues
"Good overtime pay, stable hours, supportive coworkers Limited advancement, repetitive stations",neutral,Glassdoor,Scheduling Issues
"Easy to learn, low skill barrier, steady paycheck Favoritism, poor communication, frequent changes",negative,Glassdoor,Training Gaps
"Choose shifts, decent pay, safe workplace Not engaging, repetitive, high turnover",positive,Glassdoor,Scheduling Issues
"Quick hiring, weekly pay, light supervision Pressure to hit rates, repetitive scanning work",negative,Glassdoor,General Experience
"Large break rooms, transportation options, good benefits package Long shifts, little variety, mentally draining",positive,Glassdoor,Burnout
"Benefits start early, clean facility, organized workflow Repetitive counting tasks, long hours standing, strict performance metrics",positive,Glassdoor,Burnout
